Index,Manufacturer Part Number,Manufacturer Name,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Customer Reference,Product Notes
1,GRM033R61A224KE90D,Murata Electronics,,100,100,Cut Tape (CT),490-10411-1-ND,0.00640,$0.64,1,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C35,C36,C37,C38,C39,C40,C48,C52",
2,GRM155Z71A105KE01D,Murata Electronics,,2,2,Cut Tape (CT),490-GRM155Z71A105KE01DCT-ND,0.08000,$0.16,1,"C30,C31",
3,GRM188R61A106ME69D,Murata Electronics,,10,10,Cut Tape (CT),490-10475-1-ND,0.02700,$0.27,1,"C32,C33,C44,C45,C47",
4,GRM155R61A474KE15D,Murata Electronics,,2,2,Cut Tape (CT),490-3264-1-ND,0.10000,$0.20,1,"C34,C49",
5,GRM155R61A475MEAAD,Murata Electronics,,3,3,Cut Tape (CT),490-14306-1-ND,0.08000,$0.24,1,"C41,C42,C53",
6,APXG200ARA121MF61G,Chemi-Con,,1,1,Cut Tape (CT),565-4530-1-ND,0.72000,$0.72,1,C43,
7,GRM21BR61C106KE15K,Murata Electronics,,1,1,Cut Tape (CT),490-6473-1-ND,0.11000,$0.11,1,C46,
8,RB521S30T1G,onsemi,,1,1,Cut Tape (CT),RB521S30T1GOSCT-ND,0.15000,$0.15,1,D1,
9,MF-MSMF150/24X-2,Bourns Inc.,,1,1,Cut Tape (CT),MF-MSMF150/24X-2CT-ND,0.22000,$0.22,1,F1,
10,10029449-111RLF,Amphenol ICC (FCI),,1,1,Cut Tape (CT),609-4614-1-ND,1.12000,$1.12,1,J1,"No Backorders Allowed. "
11,USB4125-GF-A,GCT,,1,1,Cut Tape (CT),2073-USB4125-GF-ACT-ND,0.81000,$0.81,1,J2,
12,0676433910,Molex,,1,1,Tray,WM14667-ND,1.02000,$1.02,1,J4,
13,NRS4018T2R2MDGJ,Taiyo Yuden,,2,2,Cut Tape (CT),587-2890-1-ND,0.23000,$0.46,1,"L1, L2",
14,DMG2301L-7,Diodes Incorporated,,1,1,Cut Tape (CT),DMG2301L-7DICT-ND,0.25000,$0.25,1,Q2,
15,RC0402FR-074K3L,YAGEO,,1,1,Cut Tape (CT),311-4.30KLRCT-ND,0.10000,$0.10,1,R1,
16,RC0402JR-0710KL,YAGEO,,1,1,Cut Tape (CT),311-10KJRCT-ND,0.10000,$0.10,1,R2,
17,RC0402JR-0751RL,YAGEO,,1,1,Cut Tape (CT),311-51JRCT-ND,0.10000,$0.10,1,R3,
18,RC0402JR-072K2L,YAGEO,,2,2,Cut Tape (CT),311-2.2KJRCT-ND,0.10000,$0.20,1,"R4,R5",
19,RC0402FR-074K7L,YAGEO,,11,11,Cut Tape (CT),311-4.7KLRCT-ND,0.00800,$0.09,1,"R6,R7,R8,R9,R10,R11,R15,R18,R20,R23,R24",
20,RC0402FR-0756RL,YAGEO,,1,1,Cut Tape (CT),311-56.0LRCT-ND,0.10000,$0.10,1,R12,
21,RC0402FR-071KL,YAGEO,,1,1,Cut Tape (CT),311-1.00KLRCT-ND,0.10000,$0.10,1,R13,
22,RC0402FR-07820RL,YAGEO,,1,1,Cut Tape (CT),311-820LRCT-ND,0.10000,$0.10,1,R14,
23,ERA-2AEB473X,Panasonic Electronic Components,,1,1,Cut Tape (CT),10-ERA-2AEB473XCT-ND,0.18000,$0.18,1,R16,
24,ERA-2AEB393X,Panasonic Electronic Components,,2,2,Cut Tape (CT),P39KDCCT-ND,0.18000,$0.36,1,"R17,R25",
25,RC0402FR-1312KL,YAGEO,,1,1,Cut Tape (CT),13-RC0402FR-1312KLCT-ND,0.10000,$0.10,1,R19,"Non Cancellable Non Returnable. "
26,RC0402FR-075K1L,YAGEO,,2,2,Cut Tape (CT),311-5.10KLRCT-ND,0.10000,$0.20,1,"R21,R22",
27,LFE5U-12F-6BG381C,Lattice Semiconductor Corporation,,1,1,Tray,220-2099-ND,19.25000,$19.25,1,U1,
28,SII9022ACNU,Lattice Semiconductor Corporation,,1,1,Tray,SII9022ACNU-ND,5.85000,$5.85,1,U2,
29,ESD224DQAR,Texas Instruments,,4,4,Cut Tape (CT),296-51107-1-ND,0.49000,$1.96,1,"U3,U5,U6,U9",
30,TPD1E05U06DYAR,Texas Instruments,,5,5,Cut Tape (CT),296-TPD1E05U06DYARCT-ND,0.14000,$0.70,1,"U4,U10,U18,U19,U21",
31,S80KS5123GABHV020,Infineon Technologies,,,,,,,,,"U7,U8",
32,W25Q128JVSIM,Winbond Electronics,,1,1,Tube,W25Q128JVSIM-ND,1.75000,$1.75,1,U11,
